Experiment Name	Sample ID	Region	Protocol	Gene Panel	RIN	BICAN Experiment ID	MERFISH Experiment ID	Experiment Start Date	MERFISH Cells #	Median Transcripts per Cell	Median Gene per Cell	Mean tranx/FOV from Instrument	Counts/FOV adjusted to match M1	Instrument	BIL Path	Experiment Notes	Imaging Duration (hrs)	Analysis duration (hrs)	Tranfer to NAS duration (hrs)	Total Size of Exp (TB)	Data Location				for formatting (can ignore)
20250412M192BICANRen26	UCI.2424.CX09.A9	A9	v2	1000 D2M2006	6.3	REN026	M192	4/8/2025	32,550	33	26	11,129	5,678	WatermelonUltra	/bil/lz/boonee/b85d5fb2bbbad2dc		40	78	43	5.02	WatermelonUltra, merfish16				35
20250412M192BICANRen26	UCI.5224.CX09.A9	A9	v2	1000 D2M2006	7.6	REN026	M192	4/8/2025	15,790	86	57	10,432	5,322	WatermelonUltra	/bil/lz/boonee/b85d5fb2bbbad2dc		40	78	43	5.02	WatermelonUltra, merfish16				35
20250419M193BICANRen27	UWA.7648.CX11.A46	A46	v2	1000 D2M2006	7.7	REN027	M193	4/15/2025	33,270	178	101	34,776	17,743	HoneydewUltra	/bil/lz/boonee/29dee86a352b6127		47:38:00	46	43	6.87	HoneydewUltra, merfish14				36
20250419M193BICANRen27	UCI.4723.CX07.A46	A46	v2	1000 D2M2006	7.3	REN027	M193	4/15/2025	29,326	143	87	28,624	14,604	HoneydewUltra	/bil/lz/boonee/29dee86a352b6127		47:38:00	46	43	6.87	HoneydewUltra, merfish14				36
20250419M193BICANRen27	UCI.2424.CX06.A46	A46	v2	1000 D2M2006	6.6	REN027	M193	4/15/2025	23,033	107	72	14,409	7,351	HoneydewUltra	/bil/lz/boonee/29dee86a352b6127	UCI2424 had lots of tissue detachment	47:38:00	46	43	6.87	HoneydewUltra, merfish14				36
20250419M193BICANRen27	UCI.5224.CX09.A46	A46	v2	1000 D2M2006	7.4	REN027	M193	4/15/2025	43,509	217	121	39,856	20,335	HoneydewUltra	/bil/lz/boonee/29dee86a352b6127		47:38:00	46	43	6.87	HoneydewUltra, merfish14				36
20250516M196BICANRen28	UWA.7648.CX24.M1C	M1C	v2	1000 D2M2006	8.1	REN028	M196	3/24/2025	Failed experiment: "…focusing issues were likely caused by a limitation in the software configuration"; Deleted experiment					HoneydewUltra											37
20250516M196BICANRen28	UCI.4723.CX21.M1C	M1C	v2	1000 D2M2006	5.9	REN028	M196	3/24/2025						HoneydewUltra											37
20250516M196BICANRen28	UCI.2424.CX18.M1C	M1C	v2	1000 D2M2006	6.9	REN028	M196	3/24/2025						HoneydewUltra											37
20250516M196BICANRen28	UCI.5224.CX20.M1C	M1C	v2	1000 D2M2006	8.2	REN028	M196	3/24/2025						HoneydewUltra											37
